,train_name,train_number,source,destination,distance,total_time,departure,arrival
956,Chhattisgarh Sampark Kranti Express,12824,DELHI H NIZAMUDDIN,DURG,1284,0 days 21:45:00,17:25:00,15:10:00
957,Jharkhand Sampark Kranti Express,12825,RANCHI,NEW DELHI,1306,0 days 21:10:00,23:40:00,20:50:00
958,Howrah-Puri Express,12837,HOWRAH JN,PURI,502,0 days 08:55:00,22:35:00,07:30:00
959,Puri Howrah Express,12838,PURI,HOWRAH JN,502,0 days 08:45:00,20:05:00,04:50:00
960,Howrah Chennai Superfast Mail,12839,HOWRAH JN,CHENNAI CENTRAL,1662,1 days 04:05:00,23:45:00,03:50:00
961,Coromandel Express,12841,HOWRAH JN,CHENNAI CENTRAL,1662,1 days 02:25:00,14:50:00,17:15:00
962,Coromandel Express,12842,CHENNAI CENTRAL,HOWRAH JN,1662,1 days 03:05:00,08:45:00,11:50:00
963,BHUBANESWAR - BENGALURU CANTT SF Exp,12845,BHUBANESWAR,BANGALORE CANT,1524,1 days 03:40:00,07:30:00,11:10:00
964,Chennai Beach Tambaram EMU,40019,CHENNAI BEACH,TAMBARAM,33,0 days 00:55:00,08:12:00,09:07:00
965,Howrah-Puri Express,12887,HOWRAH JN,PURI,502,0 days 09:00:00,20:55:00,05:55:00
966,Aranyak Express,12886,Bhojudih Junction,KOLKATA SHALIMAR,311,0 days 05:35:00,13:25:00,19:00:00
967,Aranyak Express,12885,KOLKATA SHALIMAR,Bhojudih Junction,311,0 days 05:20:00,07:45:00,13:05:00
968,Rupashi Bangla Express,12883,HOWRAH JN,PURULIA JN,333,0 days 05:50:00,06:00:00,11:50:00
969,Puri Howrah Garib Rath,12882,PURI,HOWRAH JN,502,0 days 08:50:00,22:15:00,07:05:00
970,Howrah Puri Garib Rath,12881,HOWRAH JN,PURI,502,0 days 09:00:00,20:55:00,05:55:00
971,TITLAGARH - HOWRAH Ispat Exp,12872,TITLAGARH,HOWRAH JN,745,0 days 13:25:00,05:20:00,18:45:00
972,Jharkhand Swarna Jayanti Express,12873,HATIA,ANAND VIHAR TRM,1334,1 days 00:10:00,13:40:00,13:50:00
973,Jharkhand Swarna Jayanti Express,12874,ANAND VIHAR TRM,HATIA,1334,1 days 00:05:00,19:50:00,19:55:00
974,PURI - NEW DELHI Neelanchal SF Exp,12875,PURI,NEW DELHI,1910,1 days 10:45:00,10:55:00,21:40:00
975,NEW DELHI - PURI Neelanchal SF Exp,12876,NEW DELHI,PURI,1910,1 days 10:40:00,06:30:00,17:10:00
976,Ranchi-New Delhi Garib Rath,12877,RANCHI,NEW DELHI,1341,0 days 17:40:00,17:10:00,10:50:00
977,DELHI H NIZAMUDDIN - VASCO DA GAMA Goa Exp,12780,DELHI H NIZAMUDDIN,VASCO DA GAMA,2202,1 days 15:25:00,15:05:00,06:30:00
978,Puri Ahmedabad Superfast Express,12843,PURI,AHMEDABAD JN,2130,1 days 13:55:00,17:30:00,07:25:00
979,Ahmedabad Puri Superfast Express,12844,AHMEDABAD JN,PURI,2130,1 days 14:50:00,18:00:00,08:50:00
980,MUMBAI LTT - BHUBANESWAR SF Exp,12879,LOKMANYA TILAK TERM,BHUBANESWAR,1788,1 days 07:20:00,00:15:00,07:35:00
981,Rupashi Bangla Express,12884,PURULIA JN,HOWRAH JN,333,0 days 05:40:00,15:35:00,21:15:00
982,BHUBANESWAR - MUMBAI LTT SF Exp,12880,BHUBANESWAR,LOKMANYA TILAK TERM,1789,1 days 06:25:00,07:10:00,13:35:00
983,Baripada- Bhubaneswar Express,12891,Baripada,BHUBANESWAR,275,0 days 04:53:00,05:07:00,10:00:00
984,Howrah Express,12888,PURI,HOWRAH JN,502,0 days 08:50:00,22:15:00,07:05:00
985,BHUBANESWAR - BALANGIR SF Exp,12893,BHUBANESWAR,BALANGIR,397,0 days 06:55:00,06:45:00,13:40:00
986,Bhubaneswar Baripada SF Express,12892,BHUBANESWAR,Baripada,275,0 days 04:55:00,17:10:00,22:05:00
987,Kolkata-Puri Express,12895,HOWRAH JN,PURI,502,0 days 09:00:00,20:55:00,05:55:00
988,BALANGIR - BHUBANESWAR SF Exp,12894,BALANGIR,BHUBANESWAR,397,0 days 07:10:00,14:40:00,21:50:00
989,Puducherry-Bhubaneswar Express,12897,Puducherry,BHUBANESWAR,1424,1 days 00:15:00,18:30:00,18:45:00
990,Puri-Howrah Express,12896,PURI,HOWRAH JN,502,0 days 08:50:00,22:15:00,07:05:00
991,Golden Temple Mail,12903,Mumbai Central,AMRITSAR JN,1891,1 days 08:15:00,21:25:00,05:40:00
992,Bhubaneswar-Puducherry Superfast Express,12898,BHUBANESWAR,Puducherry,1424,1 days 01:35:00,12:00:00,13:35:00
993,Maharashtra Sampark Kranti Express,12908,DELHI H NIZAMUDDIN,MUMBAI BANDRA TERMINUS,1366,0 days 20:15:00,21:35:00,17:50:00
994,Howrah-Porbandar SF Express Slip,12906-Slip,HOWRAH JN,OKHA,2586,1 days 21:05:00,22:55:00,20:00:00
995,Valsad-Haridwar Exp,12911,VALSAD,HARIDWAR JN,1433,1 days 00:35:00,15:40:00,16:15:00
996,H.Nizamuddin-Bandra Terminus Garib Rath Express,12910,DELHI H NIZAMUDDIN,MUMBAI BANDRA TERMINUS,1366,0 days 16:30:00,15:40:00,08:10:00
997,Indore-Nagpur Weekly Express,12913,INDORE JN BG,NAGPUR,652,0 days 11:50:00,20:35:00,08:25:00
998,Haridwar Valsad Superfast Express,12912,HARIDWAR JN,VALSAD,1433,0 days 23:35:00,18:40:00,18:15:00
999,Malwa Express,12919,INDORE JN BG,JAMMU TAWI,1540,1 days 03:30:00,12:25:00,15:55:00
1000,Nagpur-Indore Weekly Express,12914,NAGPUR,INDORE JN BG,652,0 days 11:35:00,19:15:00,06:50:00
1001,Flying Rani Express,12921,Mumbai Central,SURAT,263,0 days 04:40:00,17:55:00,22:35:00
1002,Malwa Express,12920,JAMMU TAWI,INDORE JN BG,1540,1 days 03:50:00,09:00:00,12:50:00
1003,Indore Nagpur Express,12923,INDORE JN BG,NAGPUR,607,0 days 11:00:00,21:25:00,08:25:00
1004,Flying Rani Express,12922,SURAT,Mumbai Central,263,0 days 04:45:00,05:25:00,10:10:00
1005,Paschim Express,12925,MUMBAI BANDRA TERMINUS,AMRITSAR JN,1821,1 days 07:40:00,11:35:00,19:15:00
1006,Indore Express,12924,NAGPUR,INDORE JN BG,607,0 days 10:25:00,19:15:00,05:40:00
1007,Paschim Express Slip,12925-Slip,MUMBAI BANDRA TERMINUS,AMRITSAR JN,1821,1 days 07:40:00,11:35:00,19:15:00
1008,Paschim Express,12926,AMRITSAR JN,MUMBAI BANDRA TERMINUS,1821,1 days 07:05:00,08:10:00,15:15:00
1009,Mumbai Central -Vadodara Express,12927,Mumbai Central,VADODARA JN,392,0 days 06:25:00,23:40:00,06:05:00
1010,Vadodara - Mumbai Central Express,12928,VADODARA JN,Mumbai Central,392,0 days 06:15:00,22:40:00,04:55:00
1011,Valsad Dahod InterCity Express,12929,VALSAD,DAHOD,344,0 days 06:00:00,07:15:00,13:15:00
1012,Dahod Valsad InterCity Express,12930,DAHOD,VALSAD,344,0 days 06:10:00,14:50:00,21:00:00
1013,Bandra Surat InterCity Express,12935,MUMBAI BANDRA TERMINUS,SURAT,252,0 days 04:20:00,06:50:00,11:10:00
1014,Surat Bandra InterCity Express,12936,SURAT,MUMBAI BANDRA TERMINUS,252,0 days 04:20:00,16:10:00,20:30:00
